TimeStamp, RightEyeX, RightEyeY, LeftEyeX, LeftEyeY
2021-06-16 11:54:15.0,8.340277777777779,5.291666666666667,9.21081081081081,4.6702702702702705
2021-06-16 11:54:33.0,9.02836879432624,5.75177304964539,10.353932584269662,4.814606741573034
2021-06-16 11:54:17.0,8.074074074074074,1.9074074074074074,8.121621621621621,2.0
2021-06-16 11:54:41.0,8.768518518518519,2.9166666666666665,6.9491525423728815,3.288135593220339
2021-06-16 11:53:45.0,8.42051282051282,5.184615384615385,6.629411764705883,5.258823529411765
2021-06-16 11:54:22.0,7.865168539325842,5.353932584269663,7.6608187134502925,4.6725146198830405
2021-06-16 11:54:30.0,10.465277777777779,5.340277777777778,10.646067415730338,5.095505617977528
2021-06-16 11:54:30.0,10.72463768115942,5.311594202898551,10.99421965317919,5.138728323699422
2021-06-16 11:54:12.0,8.683823529411764,4.389705882352941,8.974025974025974,4.0
2021-06-16 11:54:25.0,9.72463768115942,5.311594202898551,10.378531073446327,4.8192090395480225
2021-06-16 11:54:19.0,9.353741496598639,5.414965986394558,10.47340425531915,5.074468085106383
2021-06-16 11:54:11.0,8.902777777777779,4.75,8.584507042253522,3.6267605633802815
2021-06-16 11:54:34.0,10.462121212121213,4.825757575757576,10.646067415730338,5.095505617977528
2021-06-16 11:54:22.0,7.305882352941176,5.405882352941177,6.602564102564102,4.833333333333333
2021-06-16 11:54:02.0,8.229508196721312,4.098360655737705,7.408163265306122,4.0476190476190474
2021-06-16 11:54:32.0,10.72463768115942,5.311594202898551,10.723529411764705,4.758823529411765
2021-06-16 11:54:42.0,8.658536585365853,3.926829268292683,8.434782608695652,3.4565217391304346
2021-06-16 11:54:02.0,8.707142857142857,3.907142857142857,7.690647482014389,3.712230215827338
2021-06-16 11:54:03.0,8.733333333333333,4.4222222222222225,8.880952380952381,4.404761904761905
2021-06-16 11:54:25.0,9.363013698630137,5.219178082191781,9.67231638418079,5.062146892655368
2021-06-16 11:53:44.0,8.801020408163266,5.081632653061225,7.591715976331361,4.621301775147929
2021-06-16 11:53:44.0,9.014851485148515,5.188118811881188,8.326315789473684,4.78421052631579
2021-06-16 11:53:44.0,8.63978494623656,5.306451612903226,7.413793103448276,4.844827586206897
2021-06-16 11:54:00.0,8.224,4.352,8.5,4.1234567901234565
